Ano	Estado	Mes	Numero	Periodo
"2017	Amapá	Março	0	01/01/2017"
"1998	Amapá	Abril	0	01/01/1998"
"1999	Amapá	Abril	0	01/01/1999"
"2000	Amapá	Abril	0	01/01/2000"
"2001	Amapá	Abril	0	01/01/2001"
"2002	Amapá	Abril	0	01/01/2002"
"2003	Amapá	Abril	2	01/01/2003"
"2004	Amapá	Abril	0	01/01/2004"
"2005	Amapá	Abril	0	01/01/2005"
"2006	Amapá	Abril	0	01/01/2006"
"2007	Amapá	Abril	0	01/01/2007"
"2008	Amapá	Abril	2	01/01/2008"
"2009	Amapá	Abril	0	01/01/2009"
"2010	Amapá	Abril	2	01/01/2010"
"2011	Amapá	Abril	0	01/01/2011"
"2012	Amapá	Abril	2	01/01/2012"
"2013	Amapá	Abril	2	01/01/2013"
"2014	Amapá	Abril	0	01/01/2014"
"2015	Amapá	Abril	0	01/01/2015"
"2016	Amapá	Abril	0	01/01/2016"
"2017	Amapá	Abril	3	01/01/2017"
"1998	Amapá	Maio	0	01/01/1998"
"1999	Amapá	Maio	0	01/01/1999"
"2000	Amapá	Maio	0	01/01/2000"
"2001	Amapá	Maio	0	01/01/2001"
"2002	Amapá	Maio	3	01/01/2002"
"2003	Amapá	Maio	0	01/01/2003"
"2004	Amapá	Maio	0	01/01/2004"
"2005	Amapá	Maio	0	01/01/2005"
"2006	Amapá	Maio	0	01/01/2006"
"2007	Amapá	Maio	0	01/01/2007"
"2008	Amapá	Maio	0	01/01/2008"
"2009	Amapá	Maio	2	01/01/2009"
"2010	Amapá	Maio	2	01/01/2010"
"2011	Amapá	Maio	2	01/01/2011"
"2012	Amapá	Maio	2	01/01/2012"
"2013	Amapá	Maio	0	01/01/2013"
"2014	Amapá	Maio	0	01/01/2014"
"2015	Amapá	Maio	0	01/01/2015"
"2016	Amapá	Maio	1	01/01/2016"
"2017	Amapá	Maio	1	01/01/2017"
"1998	Amapá	Junho	0	01/01/1998"
"1999	Amapá	Junho	2	01/01/1999"
"2000	Amapá	Junho	0	01/01/2000"
